id	price	sale_price	sale_price_effective_date
shopify_ZZ_15464890007883_56264269136203	264.00 CZK		
shopify_ZZ_15464890106187_56264269168971	200.00 CZK		
shopify_ZZ_15464890138955_56264269201739	1269.00 CZK		
shopify_ZZ_15464890204491_56264269234507	1044.00 CZK	748.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464890302795_56264269300043	1097.00 CZK	987.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464890368331_56264269332811	237.00 CZK		
shopify_ZZ_15464890466635_56264269365579	218.00 CZK		
shopify_ZZ_15464890499403_56264269398347	173.00 CZK		
shopify_ZZ_15464890597707_56264269627723	268.00 CZK		
shopify_ZZ_15464890630475_56264269660491	298.00 CZK		
shopify_ZZ_15464890728779_56264269693259	218.00 CZK		
shopify_ZZ_15464890827083_56264269726027	217.00 CZK		
shopify_ZZ_15464890958155_56264269791563	333.00 CZK		
shopify_ZZ_15464891056459_56264270381387	892.00 CZK		
shopify_ZZ_15464891121995_56264270414155	332.00 CZK		
shopify_ZZ_15464891154763_56264270446923	339.00 CZK	311.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464891253067_56264270479691	239.00 CZK		
shopify_ZZ_15464891285835_56264270512459	250.00 CZK		
shopify_ZZ_15464891351371_56264270545227	1900.00 CZK		
shopify_ZZ_15464891482443_56264270577995	298.00 CZK		
shopify_ZZ_15464891547979_56264271003979	151.00 CZK		
shopify_ZZ_15464891646283_56264271036747	255.00 CZK		
shopify_ZZ_15464891679051_56264271069515	256.00 CZK		
shopify_ZZ_15464891810123_56264271135051	721.00 CZK	571.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464891842891_56264271167819	333.00 CZK	319.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464891973963_56264271200587	229.00 CZK		
shopify_ZZ_15464892039499_56264271233355	597.00 CZK	383.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464892137803_56264271266123	5984.00 CZK		
shopify_ZZ_15464892170571_56264271298891	296.00 CZK		
shopify_ZZ_15464892268875_56264271364427	267.00 CZK		
shopify_ZZ_15464892334411_56264271397195	1622.00 CZK	1312.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464892465483_56264271429963	292.00 CZK		
shopify_ZZ_15464892531019_56264271462731	329.00 CZK	315.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464892596555_56264271495499	322.00 CZK		
shopify_ZZ_15464892727627_56264272511307	902.00 CZK		
shopify_ZZ_15464892760395_56264272544075	2881.00 CZK	2420.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464892858699_56264272609611	972.00 CZK	894.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464892891467_56264272642379	804.00 CZK		
shopify_ZZ_15464893055307_56264272675147	6602.00 CZK	5083.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893088075_56264272707915	607.00 CZK	437.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893153611_56264272740683	4038.00 CZK	3795.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893251915_56264272904523	1201.00 CZK	1020.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893284683_56264272937291	1292.00 CZK	927.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893350219_56264272970059	2613.00 CZK	2352.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893448523_56264273035595	503.00 CZK	393.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893612363_56264273133899	4722.00 CZK	4438.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893710667_56264273920331	775.00 CZK	651.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464893808971_56264275329355	237.00 CZK		
shopify_ZZ_15464893907275_56264275427659	349.00 CZK	317.00 CZK	2026-09-10T00:00+0200/2026-09-13T23:59+0200
shopify_ZZ_15464894071115_56264278573387	303.00 CZK		
